2021-10-07 08:34:21,380 | train | INFO | Early stopper, Early stopping counter 3/6
2021-10-07 08:55:29,811 | train | INFO | Write row 14
2021-10-07 08:55:30,520 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742
2021-10-07 08:55:30,520 | train | INFO | Early stopper, Early stopping counter 4/6
2021-10-07 09:16:42,358 | train | INFO | Write row 15
2021-10-07 09:16:43,067 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742
2021-10-07 09:16:43,068 | train | INFO | Early stopper, Early stopping counter 5/6
2021-10-07 09:37:56,080 | train | INFO | Write row 16
2021-10-07 09:37:56,859 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnetv2_l_in21ft1k_20211007033742
2021-10-07 09:37:56,860 | train | INFO | Early stopper, Early stopping counter 6/6
