2021-10-07 06:10:29,100 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416\best.pt
2021-10-07 06:10:29,101 | train | INFO | Update best record row 13, checkpoints 0.00848411643319117 -> 0.007605786854779908
2021-10-07 06:10:29,487 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416
2021-10-07 06:10:29,488 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.00848411643319117 -> 0.007605786854779908
2021-10-07 06:10:34,286 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416\best.pt
2021-10-07 06:37:49,849 | train | INFO | Write row 13
2021-10-07 06:37:54,958 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416\best.pt
2021-10-07 06:37:54,959 | train | INFO | Update best record row 14, checkpoints 0.007605786854779908 -> 0.007480364598623406
2021-10-07 06:37:55,354 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416
2021-10-07 06:37:55,355 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.007605786854779908 -> 0.007480364598623406
2021-10-07 06:38:00,021 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416\best.pt
2021-10-07 07:05:14,534 | train | INFO | Write row 14
2021-10-07 07:05:14,938 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416
2021-10-07 07:05:14,940 | train | INFO | Early stopper, Early stopping counter 1/6
2021-10-07 07:32:31,261 | train | INFO | Write row 15
2021-10-07 07:32:31,664 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416
2021-10-07 07:32:31,664 | train | INFO | Early stopper, Early stopping counter 2/6
2021-10-07 07:59:49,811 | train | INFO | Write row 16
2021-10-07 07:59:53,870 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416\best.pt
2021-10-07 07:59:53,870 | train | INFO | Update best record row 17, checkpoints 0.007480364598623406 -> 0.0051950757721808925
2021-10-07 07:59:54,273 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416
2021-10-07 07:59:54,274 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.007480364598623406 -> 0.0051950757721808925
2021-10-07 07:59:58,086 | train | INFO | Model saved: C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416\best.pt
2021-10-07 08:27:16,829 | train | INFO | Write row 17
2021-10-07 08:27:17,252 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416
2021-10-07 08:27:17,253 | train | INFO | Early stopper, Early stopping counter 1/6
2021-10-07 08:54:37,170 | train | INFO | Write row 18
2021-10-07 08:54:37,570 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416
2021-10-07 08:54:37,571 | train | INFO | Early stopper, Early stopping counter 2/6
2021-10-07 09:21:54,421 | train | INFO | Write row 19
2021-10-07 09:21:54,815 | train | INFO | Save performance plot C:\Users\dg\Desktop\aifarm\aifarm\results\train\swin_large_patch4_window12_384_20211007001416
2021-10-07 09:21:54,816 | train | INFO | Early stopper, Early stopping counter 3/6
