2021-10-07 02:44:28,872 | train | INFO | Update best record row 13, checkpoints 0.024790397126040496 -> 0.022680763818502328
2021-10-07 02:44:29,575 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927
2021-10-07 02:44:29,576 | train | INFO | Early stopper, counter reset 0, Validation loss decreased 0.024790397126040496 -> 0.022680763818502328
2021-10-07 02:44:30,790 | train | INFO | Model saved: F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927\best.pt
2021-10-07 02:53:19,917 | train | INFO | Write row 13
2021-10-07 02:53:20,627 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927
2021-10-07 02:53:20,628 | train | INFO | Early stopper, Early stopping counter 1/6
2021-10-07 03:02:13,680 | train | INFO | Write row 14
2021-10-07 03:02:14,409 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927
2021-10-07 03:02:14,409 | train | INFO | Early stopper, Early stopping counter 2/6
2021-10-07 03:11:03,747 | train | INFO | Write row 15
2021-10-07 03:11:04,453 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927
2021-10-07 03:11:04,454 | train | INFO | Early stopper, Early stopping counter 3/6
2021-10-07 03:19:49,261 | train | INFO | Write row 16
2021-10-07 03:19:49,973 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927
2021-10-07 03:19:49,973 | train | INFO | Early stopper, Early stopping counter 4/6
2021-10-07 03:28:44,596 | train | INFO | Write row 17
2021-10-07 03:28:45,337 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927
2021-10-07 03:28:45,337 | train | INFO | Early stopper, Early stopping counter 5/6
2021-10-07 03:37:36,100 | train | INFO | Write row 18
2021-10-07 03:37:36,849 | train | INFO | Save performance plot F:\aifarm_baseline\results\train\tf_efficientnet_b6_ns_20211007004927
2021-10-07 03:37:36,850 | train | INFO | Early stopper, Early stopping counter 6/6
